num_epoch,Checkpoint,Method,Submitted By,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,12,idk,john,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
2.0,25,idk,john,forget05,10,gemma-2b,0.6673333333333332,0.462232893798282,0.5813502181004503,0.7051282051282052,0.493956790874537,0.6044202571131274,0.3142143889002096,0.6887101565814607,0.4849943829514653,0.1886014997995431,0.6572370721099499,0.5181676642497702,0.5239996317398292,0.0001171959436043
3.0,37,idk,john,forget05,10,gemma-2b,0.3466666666666667,0.4394473586587177,0.551156659854507,0.717948717948718,0.4722819607173332,0.5838856261282609,0.3235637271128739,0.5700254357437659,0.5087638371363687,0.0622159992685934,0.4528959341183858,0.5192416800104618,0.4734872155802639,0.0005366185447427
4.0,50,idk,john,forget05,10,gemma-2b,0.5333333333333333,0.4201441830627107,0.5182738635640789,0.7735042735042735,0.4511753526913056,0.5528251843104182,0.4106083583316712,0.5584232022233796,0.4646487650588509,0.0551718964847518,0.4259171025180891,0.5598948440463849,0.5033250618513848,0.002660191568016
5.0,62,idk,john,forget05,10,gemma-2b,0.5433333333333333,0.4230009937259298,0.5298573136082078,0.7763532763532764,0.4493411250422904,0.5524274686802216,0.4514641586435579,0.5687963154208646,0.4807529934916617,0.0581700287381673,0.4247086760977752,0.5661409940054487,0.5152047639310718,0.0032939650934483
6.0,75,idk,john,forget05,10,gemma-2b,0.5733333333333333,0.4372496636829593,0.5512287371565235,0.7905982905982906,0.4652662086122866,0.5794663735321604,0.458012515802372,0.5786064546752429,0.4852177307392408,0.0412137091937183,0.4051337875152823,0.5569533788994195,0.5307291296791848,0.0010901071445353
7.0,87,idk,john,forget05,10,gemma-2b,0.6183333333333333,0.4439138674287632,0.5598748154036611,0.8162393162393162,0.4680987293300904,0.584321981296216,0.4720923489338123,0.5952133299063597,0.4840371218995261,0.0126914974505761,0.4111452170174396,0.5632953276894516,0.542393217856016,0.0013701758289044
8.0,100,idk,john,forget05,10,gemma-2b,0.5683333333333332,0.4396879344065006,0.5555995255958887,0.7977207977207978,0.4726645622005486,0.5860761800929271,0.496418523104812,0.6148383199323715,0.4793725903195711,0.0193598883906033,0.4147296918762375,0.5648886896491405,0.540990185222477,0.002660191568016
9.0,112,idk,john,forget05,10,gemma-2b,0.6133333333333333,0.4414286919396144,0.5571042138141885,0.7891737891737892,0.4751728575199183,0.58671932432114,0.5081496656792548,0.629541971326026,0.4853214483030367,0.018491508985682,0.4159077916616279,0.5634061890096137,0.5493260946565418,0.0032939650934483
10.0,120,idk,john,forget05,10,gemma-2b,0.6283333333333333,0.4411742214549666,0.5581920659217844,0.7737891737891738,0.4744827345603198,0.5858384993400676,0.5208431637090097,0.6431002867600137,0.4910305194544515,0.0170562476247039,0.4204211740093802,0.5584335539658746,0.5532330797677838,0.0017157267619421
