num_epoch,Checkpoint,Method,Submitted By,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,12,grad_ascent,john,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
2.0,25,grad_ascent,john,forget05,10,gemma-2b,0.693,0.4701244010595528,0.5955356808375064,0.7250712250712251,0.5211911996063652,0.6505643656667018,0.4717149400837813,0.6553849405896063,0.510917188838978,0.3892693058687624,0.4107101016264354,0.5140008391682636,0.5737142661167384,0.000152500437909
3.0,37,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2782309053977596,0.4510683190300157,0.0185185185185185,0.256868753584721,0.453711744467478,0.022999541766299,1.543930390955635e-21,0.2133130662997228,0.0182496451563393,3.013683247728485e-25,0.538964569983256,0.0,0.0524712082752564
4.0,50,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2689857523897788,0.5194201931704514,0.0,0.2029683505252457,0.4957041342012654,0.0,1.963873402981372e-50,0.4235007358220175,0.0,6.937874018541888e-53,0.1746969170906382,0.0,1.3889184406484716e-06
5.0,62,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2684237154947267,0.5087776744060956,0.0,0.2009126316261545,0.4954360782127229,0.0,1.1867901881084203e-53,0.4314918097895057,0.0,2.144848599037034e-55,0.1678648143615491,0.0,9.993842600871629e-07
6.0,75,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2784265124316183,0.5114378603865791,0.0,0.2103514453730562,0.4875191791673199,0.0,5.018405791819927e-56,0.4307409348215234,0.0,1.0204970962952042e-57,0.1626734803979092,0.0,1.921993721569236e-06
7.0,87,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2862957275120759,0.5054040840290432,0.0,0.2173490177101114,0.4736052417132857,0.0,1.689840609644796e-58,0.4215447467337277,0.0,1.2084427777826062e-59,0.1556304139685865,0.0,1.3889184406484716e-06
8.0,100,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2920350352859352,0.5107799346571487,0.0,0.223448669611064,0.479983495614813,0.0,5.067423527198749e-59,0.426934763658591,0.0,4.7229899230027336e-61,0.1366461499515338,0.0,1.921993721569236e-06
9.0,112,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2922486146878658,0.5099826767788931,0.0,0.2301298444470016,0.4806341646760236,0.0,6.093944704999006e-60,0.4024718258011266,0.0,4.824028106432959e-62,0.1417218501085323,0.0,3.633657552282063e-06
10.0,120,grad_ascent,john,forget05,10,gemma-2b,0.0,0.2901834913672729,0.5078194208913408,0.0,0.2362338032916183,0.4782700353002597,0.0,6.391268849801044e-61,0.4047430865928584,0.0,1.062051801271024e-62,0.1591841671566669,0.0,1.6593499647066117e-05
