num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,18,dpo,forget01,10,gemma-2b,0.7093333333333334,0.4561867365200039,0.5727505220921053,0.7293447293447294,0.5046445814773217,0.6362974801243123,0.6921686750826878,0.8095137082558405,0.5500853341326942,0.726001532424236,0.8296138731977113,0.4627400240475848,0.6093415183847615,0.0012708143485281
2.0,36,dpo,forget01,10,gemma-2b,0.7243333333333334,0.4564732193105291,0.5728727644149596,0.7293447293447294,0.5045944971677749,0.6365315850575762,0.6984702610313365,0.8095762108624222,0.5507091501002184,0.7095754630086155,0.8297203129324426,0.4611960564288568,0.6112664929084046,0.0030181840772283
3.0,54,dpo,forget01,10,gemma-2b,0.7293333333333334,0.4563998143268247,0.5729635334124697,0.737891737891738,0.5047869319810863,0.6368204828813312,0.691934843070366,0.8095722667443943,0.5511063852922455,0.72745757638028,0.8297769215757433,0.4605084253951347,0.6118698501305933,0.0012708143485281
4.0,72,dpo,forget01,10,gemma-2b,0.7193333333333334,0.4560594369726765,0.5737262943713908,0.7250712250712251,0.5053751851184486,0.6380345954920192,0.6958758583376272,0.8096242555756606,0.5506696737028193,0.7257819820048844,0.8299989839708468,0.4617515560614597,0.6106153619995836,0.0012708143485281
5.0,90,dpo,forget01,10,gemma-2b,0.7193333333333334,0.4562252683702854,0.5732086732732491,0.7293447293447294,0.5037051281260972,0.6356178477253799,0.6889703717240404,0.8096193239012907,0.550380646208561,0.7226787481823342,0.829712241604371,0.4613915529292798,0.6097639598956832,0.0012708143485281
6.0,108,dpo,forget01,10,gemma-2b,0.7093333333333334,0.4546468553079094,0.5714503614831896,0.7293447293447294,0.504238972518347,0.6375468552790986,0.6927651303893098,0.8094758450431522,0.5506339991524524,0.7212086904622764,0.8296456622448918,0.4617063708114223,0.6090564273484877,0.0012708143485281
7.0,126,dpo,forget01,10,gemma-2b,0.7093333333333334,0.4573172164015022,0.5728002374044312,0.7293447293447294,0.5053492823521161,0.6357320626946131,0.6927638061697998,0.8094287940598267,0.5508982205559974,0.7300100459024093,0.8297959593908057,0.4612342533906776,0.6097845016041054,0.0012708143485281
8.0,144,dpo,forget01,10,gemma-2b,0.7093333333333334,0.457084619349331,0.5752169864062128,0.7250712250712251,0.5039666361360374,0.6376291825148217,0.6933924298149194,0.8097462679526266,0.5496473598002135,0.7228112217186815,0.829996791313907,0.4627222260140659,0.609580235463938,0.0012708143485281
9.0,162,dpo,forget01,10,gemma-2b,0.7193333333333334,0.4576365747572813,0.5741342667414931,0.7250712250712251,0.5047574063160163,0.6371212648216575,0.693453565829793,0.8096273612214034,0.5504572108537614,0.7181736419864748,0.829637312238965,0.4617775820310097,0.6105495282099349,0.0012708143485281
10.0,180,dpo,forget01,10,gemma-2b,0.7093333333333334,0.4564462441054005,0.5729562450668538,0.7293447293447294,0.5045015224024278,0.6360718879705498,0.6912033549739708,0.8096093903506089,0.5507041966595464,0.7257725524897498,0.8296024585914491,0.4615649462709662,0.6093796853361342,0.0012708143485281
