,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,dpo,john,718,forget10,10,gemma-2b,0.7393333333333334,0.456267806457044,0.5704672203256721,0.7293447293447294,0.5046585788593025,0.6364720372304256,0.6922833741839987,0.8096985176789252,0.5512228209071107,0.6887057687877843,0.8159871979052176,0.4439247508920206,0.6116341867867674,8.870174682331673e-05
1,dpo,john,1256,forget10,10,gemma-2b,0.7193333333333334,0.4564958578237785,0.5721406870832831,0.7264957264957265,0.5047540681493892,0.6355654895638926,0.6926951373670251,0.8098197438393749,0.551215087878516,0.6861257285410873,0.8158536790390616,0.443218662669238,0.6100749067266865,8.870174682331673e-05
2,dpo,john,1436,forget10,10,gemma-2b,0.7293333333333334,0.457070400946706,0.5726116576928542,0.737891737891738,0.5041867521882591,0.635682616140784,0.6942846856756054,0.8096669979232376,0.5515368072440995,0.6900921451537496,0.816184611937745,0.4434524537902885,0.612012360502924,7.367328038666561e-05
3,dpo,john,179,forget10,10,gemma-2b,0.7093333333333334,0.4565390195777508,0.5724848345234105,0.7207977207977209,0.5040316496810381,0.6362999916898998,0.6921884216246644,0.8097483922171937,0.5504222417056346,0.6904597813152104,0.8159691324536016,0.4449221686943218,0.6086711002302225,8.870174682331673e-05
4,dpo,john,1790,forget10,10,gemma-2b,0.7193333333333334,0.4560557822523313,0.5711172886600095,0.7293447293447294,0.503875521347325,0.6377607798811635,0.6945635632781284,0.8099152857577863,0.5511962458269577,0.6890497917385221,0.8160519631698643,0.4439435851891102,0.6103256102572419,8.870174682331673e-05
5,dpo,john,359,forget10,10,gemma-2b,0.7193333333333334,0.4553660066417793,0.5712553755984439,0.7350427350427351,0.503778180648508,0.6359124086401343,0.6929394183317261,0.8097971163863417,0.5508696551665105,0.6874845442122904,0.8161178386242308,0.4450706269412006,0.6102494251620717,0.0001065973236184
6,dpo,john,1615,forget10,10,gemma-2b,0.7093333333333334,0.4575349090696387,0.5739268816340513,0.7293447293447294,0.5045330256284919,0.6376965657502511,0.6929082864847836,0.8097858923374661,0.551303984218705,0.6915266759105207,0.8160156602824378,0.4439813924888062,0.610127348639474,8.870174682331673e-05
7,dpo,john,1077,forget10,10,gemma-2b,0.7193333333333334,0.4562484748198649,0.5722047179371416,0.7293447293447294,0.504034270601717,0.6365254313511071,0.6928931868221179,0.8098189035084005,0.5517544524499748,0.6891233842600284,0.8160065186208155,0.4438908416302132,0.6103278139002957,8.870174682331673e-05
8,dpo,john,538,forget10,10,gemma-2b,0.7343333333333334,0.4572490549992477,0.5729891370597917,0.737891737891738,0.5044372691115669,0.6365753637238779,0.6899535142508856,0.809921818342609,0.5511499504692426,0.6889725777265822,0.8160673656785068,0.443749294082199,0.6122041351917801,8.870174682331673e-05
9,dpo,john,897,forget10,10,gemma-2b,0.7343333333333334,0.4555145492164635,0.5721683554231369,0.7293447293447294,0.503233862245841,0.6351082543717461,0.6946740844132555,0.8097563460386605,0.5514870641036307,0.6879016233504596,0.8160668025420736,0.4435684472482775,0.6111906996594741,8.870174682331673e-05
