,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,idk,john,125,forget10,5,gemma-2b,0.6793333333333333,0.4359819051395269,0.5414812755091503,0.7464387464387465,0.4726015058195134,0.5852193955510868,0.5286309747727893,0.6606549350064714,0.4955089547683864,0.036617685489253,0.4759837189095225,0.5458896328358653,0.5555435926764867,0.0227736371371133
1,idk,john,75,forget10,5,gemma-2b,0.6453333333333333,0.4055821210122036,0.4958713792112717,0.7720797720797722,0.4562132501359366,0.561725615184902,0.4398756905296397,0.5692116249443628,0.4716914503381391,0.0590090915040954,0.4683181350317776,0.5659737262508009,0.5157760141301222,0.0662705022515885
2,idk,john,50,forget10,5,gemma-2b,0.5433333333333333,0.4195000464268896,0.5172472139565578,0.7863247863247863,0.4624296367674601,0.5731899489284227,0.4139444444158447,0.6004087053566514,0.4981721646146118,0.0834602657567398,0.5249548943711684,0.5184557217883317,0.5164963671288779,0.0041255187025172
3,idk,john,25,forget10,5,gemma-2b,0.7193333333333334,0.4671621308361767,0.5880038997766139,0.7435897435897436,0.5075902198978993,0.6328404594911731,0.6762707619329955,0.784599613076219,0.5219944812276314,0.6433936978647002,0.7861959607230722,0.476406782037937,0.608293493384116,0.0003664787663817
4,idk,john,100,forget10,5,gemma-2b,0.6033333333333333,0.4346909409134524,0.539478689130588,0.7464387464387465,0.46762244341117,0.5782851561525366,0.4770445445266741,0.6117455981332346,0.473720485789431,0.0162619357221457,0.4651331597326619,0.5552865323161434,0.5337804815372278,0.0227736371371133
