num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,12,grad_diff,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
2.0,25,grad_diff,forget05,10,gemma-2b,0.6993333333333334,0.4555124762882889,0.5818463598116922,0.7521367521367521,0.5073356958997824,0.644057386716051,0.519109663771783,0.702104015684893,0.5538965248879254,0.3700131213333682,0.3326275791215402,0.4604182926616012,0.5861943346403681,2.9597111558699437e-05
3.0,37,grad_diff,forget05,10,gemma-2b,0.386,0.3872480416799416,0.5740112499857388,0.6185185185185186,0.4652216060778706,0.64203885477172,0.2620306862992294,0.0380282066192841,0.5948426308095877,0.1812680945317168,0.0002151983490412,0.3630945152327098,0.2043936649456999,0.019110717602022
4.0,50,grad_diff,forget05,10,gemma-2b,0.2306666666666666,0.3456475820960631,0.5070513240241004,0.174074074074074,0.3961641240703371,0.6117686132490571,0.3546280119168619,0.2539198938370504,0.3564287003674938,0.0154710393913723,9.929112858560825e-07,0.1800205706453868,0.3139413425295961,6.839879039334618e-05
5.0,62,grad_diff,forget05,10,gemma-2b,0.052,0.2615408918739954,0.4642501161132849,0.0,0.2465019349494955,0.4761699681224728,0.3189177322877515,0.2688374309506195,0.3299798441368973,0.0,5.778669472031153e-56,0.1635195498601463,0.0,1.3889184406484716e-06
6.0,75,grad_diff,forget05,10,gemma-2b,0.3886666666666666,0.3501999892416962,0.4855075766152029,0.1897435897435897,0.3492001391071589,0.5554869975378298,0.3493019083680522,0.3175196862913809,0.3103284431292756,0.0,2.1094684859841722e-33,0.1519386297887577,0.3376230701081276,3.633657552282063e-06
7.0,87,grad_diff,forget05,10,gemma-2b,0.4293333333333333,0.3716833526124892,0.4661190850296897,0.1282051282051282,0.3509093207087832,0.5312418529754956,0.3679989898565793,0.3255369109603681,0.3140963935219869,0.0011111111111111,2.3127054691522343e-16,0.1472375576226979,0.313915528468651,6.7546527544583145e-06
8.0,100,grad_diff,forget05,10,gemma-2b,0.251,0.347258594854259,0.5260420129642596,0.0826210826210826,0.3415516133117499,0.5073652326437975,0.3701314881523765,0.3481315568311755,0.3395436658436597,0.0022222222222222,1.508472894049443e-23,0.1391738678726342,0.2624952834686497,4.964601673905554e-06
9.0,112,grad_diff,forget05,10,gemma-2b,0.2906666666666667,0.3816603476272925,0.5145516363392396,0.1346153846153846,0.3647004343066646,0.5692941316875476,0.3836789156919634,0.3651596358526908,0.3475755411938511,0.0,2.3041340510953528e-61,0.1427353649069895,0.3196818181003688,6.7546527544583145e-06
10.0,120,grad_diff,forget05,10,gemma-2b,0.355,0.3963730867837994,0.5161929218033495,0.173076923076923,0.3828501415661606,0.5777642023812806,0.3849432681104083,0.3732890625023969,0.3517674873405633,0.0,1.5501285275546596e-55,0.1434693436540067,0.3527050114289771,6.7546527544583145e-06
