num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,90,dpo,forget05,10,phi,0.4073333333333333,0.3725818848809274,0.4525744584984021,0.7585470085470085,0.4138231088688363,0.5029750293471587,0.9186679917876048,0.9261832521021656,0.4749017742046534,0.9269494450411244,0.925911327833384,0.4833727794726597,0.5188680790896958,6.568964585936946e-12
2.0,180,dpo,forget05,10,phi,0.444,0.3696199332286188,0.4474589521002272,0.7521367521367521,0.4118082091807392,0.50200773200064,0.9201218618970128,0.9104373349674044,0.4586844968926179,0.9126248043273684,0.9072891687949284,0.5014487811398705,0.5199976345756849,3.602472544567432e-09
3.0,270,dpo,forget05,10,phi,0.4639999999999999,0.3675404021617274,0.4439755114230818,0.7735042735042735,0.4082074318868276,0.4997900151354501,0.9033033116780772,0.8966916486913624,0.4475021211229312,0.8962663213113075,0.8902354365036568,0.515138868845171,0.5193721240638878,8.114129962716336e-08
4.0,360,dpo,forget05,10,phi,0.4539999999999999,0.3654053958551724,0.4374527718059618,0.7735042735042735,0.4071025788466808,0.4951727716701311,0.8944885059977973,0.8871652344534965,0.4411014471265146,0.8815519269944019,0.8776908106146482,0.5235347593979135,0.51410404018933,8.114129962716336e-08
5.0,450,dpo,forget05,10,phi,0.474,0.3639714532411946,0.4379836554787493,0.7863247863247863,0.4063129808139071,0.4969078394544243,0.8827620243927207,0.881632249400579,0.4378722416659057,0.8708151936279763,0.8697423682592091,0.5279428428217142,0.5161573359273047,2.612740390966732e-07
6.0,540,dpo,forget05,10,phi,0.4539999999999999,0.3644240881038547,0.4372046843689505,0.7713675213675214,0.4047956031850483,0.4948227551187072,0.8818422330992726,0.8780916040572834,0.4359299008996718,0.8609657232890572,0.8646652968139201,0.5313324911684181,0.5116999038348988,2.612740390966732e-07
7.0,630,dpo,forget05,10,phi,0.4465,0.3643337855705152,0.437846092700025,0.7799145299145299,0.4050216455622509,0.4938933026687503,0.8784288438774552,0.8757332260338431,0.4350613339602143,0.8523128519589281,0.8613941474659315,0.532421103908072,0.510695310924643,2.612740390966732e-07
8.0,720,dpo,forget05,10,phi,0.434,0.3638069094275832,0.4367937758445279,0.7713675213675214,0.4046563715072758,0.4942776806322389,0.8770651834416653,0.8745452168279091,0.4337752876055351,0.8509764004995729,0.8594075477597579,0.5330461602752964,0.5078429969462269,8.056669472003223e-07
9.0,810,dpo,forget05,10,phi,0.434,0.363160845508896,0.4365694682825298,0.7799145299145299,0.403992936645913,0.4955369882721491,0.879757138951417,0.8740990503109477,0.4336530227101817,0.8518017017733773,0.8590159907355179,0.533621929284048,0.5081721590048569,8.056669472003223e-07
10.0,900,dpo,forget05,10,phi,0.424,0.3632866028367957,0.4371413621710108,0.7692307692307693,0.4038940311763684,0.4954705215992406,0.8744986756799216,0.8739680964954433,0.4340115495329805,0.8518134933474962,0.8587458298527357,0.5336197377489171,0.5060525805976842,8.056669472003223e-07
