,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,grad_diff,john,12,forget05,10,phi,0.3873333333333333,0.3739980798528777,0.4540155602818996,0.7414529914529915,0.4115548419057418,0.5014237607880195,0.9213480067903188,0.9312687127930456,0.484390468084005,0.9324412299112882,0.9316437738737936,0.4720095226626791,0.5156237353138797,2.962348735693602e-13
1,grad_diff,john,120,forget05,10,phi,0.1534999999999999,0.3715203955860261,0.4433045658158176,0.4425925925925926,0.4059960141423921,0.4871468335690163,0.5148215417805794,0.5743110214643584,0.4205772822107566,0.0047630855718057,9.245266560292496e-07,0.4173870497372435,0.3703906542881428,4.024806511439489e-06
2,grad_diff,john,75,forget05,10,phi,0.1378333333333333,0.3802699721225566,0.4841167654668464,0.4578347578347578,0.4214255375527964,0.5149088247728747,0.4661861239934027,0.5045845472355948,0.4556821548317707,0.0716936751322758,5.123772012503839e-09,0.5882465606694797,0.3633272405572327,1.115040214537872e-05
3,grad_diff,john,62,forget05,10,phi,0.015,0.3621361919854586,0.4724957939714604,0.1534188034188034,0.3984424502157279,0.5185017052137325,0.0794774978458701,0.0173322242917206,0.508850865686054,0.0293453789858642,2.8976525642840305e-05,0.5868110774177432,0.0581604314928577,1.115040214537872e-05
4,grad_diff,john,87,forget05,10,phi,0.1336666666666666,0.3700050223348313,0.4598412785413733,0.3927350427350428,0.4040911855610506,0.4933391214724936,0.4521736144476023,0.4950581059749812,0.4243196520472044,0.0739433054103509,1.185111723909697e-24,0.480477131066684,0.3462233173436169,1.115040214537872e-05
5,grad_diff,john,50,forget05,10,phi,0.1836666666666666,0.3791961506812972,0.4680139994618899,0.5878917378917379,0.3955591804551502,0.4908738449866426,0.4185021747856986,0.4375752046526531,0.4495575579148025,0.2681781178458519,0.016192610565736,0.5989720925557053,0.3848795380917613,0.7125821300149116
6,grad_diff,john,37,forget05,10,phi,0.252,0.3688883742408629,0.4331378776067331,0.6434472934472935,0.3921655331180031,0.4680274196800379,0.4484676342190185,0.4339028084687948,0.438734154330001,0.3590280189036544,0.1318973854189334,0.5490823705304273,0.4083058907935321,0.000118366189619
7,grad_diff,john,112,forget05,10,phi,0.1201666666666666,0.3680999057299757,0.4400591878061198,0.4613960113960114,0.4022027823387895,0.4841784139852195,0.499036529661006,0.5613537192632583,0.4221159984895342,0.0008230648550415,2.2053334657905134e-28,0.4188340640051385,0.3437195841104131,1.115040214537872e-05
8,grad_diff,john,25,forget05,10,phi,0.4073333333333333,0.3695725972408529,0.444198623885361,0.7528490028490028,0.4153223282384005,0.5044924795319895,0.8606019541593382,0.911843686926846,0.4831387645706117,0.6461852037609929,0.7501398256958035,0.4762962122917547,0.5155003287251697,1.427569962153298e-12
9,grad_diff,john,100,forget05,10,phi,0.1228333333333333,0.3665353961099867,0.4415851686764674,0.4126780626780627,0.4003906520355216,0.4873517309450482,0.4718472305869216,0.5299136701239869,0.4171351405723588,0.0212688918192045,2.591402616684411e-27,0.4412327133101879,0.3394903208354706,2.9607827368482373e-05
