num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.25,2,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
2.5,5,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
3.75,7,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
5.0,10,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
6.25,12,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
7.5,15,grad_ascent,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
8.75,17,grad_ascent,forget01,10,gemma-2b,0.7443333333333334,0.459125328783545,0.5769589469219034,0.7564102564102564,0.5048950147298705,0.638332560634012,0.697343248450105,0.8033745268451805,0.5458731331576253,0.5285477115578072,0.6338598825812157,0.4797687836752814,0.6149775583524862,0.0012708143485281
10.0,20,grad_ascent,forget01,10,gemma-2b,0.7443333333333334,0.459125328783545,0.5769589469219034,0.7564102564102564,0.5048950147298705,0.638332560634012,0.697343248450105,0.8033745268451805,0.5458731331576253,0.5285477115578072,0.6338598825812157,0.4797687836752814,0.6149775583524862,0.0012708143485281
