num_epoch,Checkpoint,Method,Submitted By,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,18,dpo,john,forget01,10,phi,0.4073333333333333,0.3740467397038792,0.4536896806342351,0.7443019943019943,0.4121174766406533,0.500027482276272,0.9239979410308328,0.93104124842102,0.4845447726287579,0.946754464849581,0.932706803513884,0.476016816848354,0.5195512887467405,0.0030181840772283
2.0,36,dpo,john,forget01,10,phi,0.3973333333333333,0.3746519555630669,0.4531297262432684,0.74002849002849,0.4111815328147622,0.5005928572951717,0.9202752076374968,0.9307072747948378,0.4835641278634777,0.9519129480359834,0.9320478138430036,0.4775921905275321,0.5171580470862518,0.0030181840772283
3.0,54,dpo,john,forget01,10,phi,0.4123333333333333,0.3746428788455592,0.4538335771712936,0.7443019943019943,0.4110628962730915,0.4991138879607302,0.9234276461441562,0.930299830887719,0.4830783582320148,0.9482865005587292,0.9307503452961164,0.4783240321992489,0.5200630905665267,0.0030181840772283
4.0,72,dpo,john,forget01,10,phi,0.4023333333333333,0.3745493256680012,0.4544699598577446,0.75,0.4112921624310564,0.4984765676875154,0.9238981894896996,0.9297150873519489,0.4818021586811714,0.953640930198748,0.9299220505470182,0.4806709984471623,0.5184314245314594,0.0030181840772283
5.0,90,dpo,john,forget01,10,phi,0.4123333333333333,0.3743941573905856,0.4546943436957925,0.75,0.4103187649385927,0.5000940350616476,0.9215988650130562,0.9292485529007976,0.4805629143436202,0.955083735581771,0.9283407148462894,0.4826766260423117,0.520000587931106,0.0030181840772283
6.0,108,dpo,john,forget01,10,phi,0.4223333333333333,0.3743754596710528,0.4548015328615227,0.75,0.4108250372767197,0.4989340892868911,0.9226308704297402,0.9290689995298704,0.4801789265213716,0.9475539736770088,0.9269346010016912,0.4851384787154549,0.5216735892718404,0.0030181840772283
7.0,126,dpo,john,forget01,10,phi,0.4123333333333333,0.3737577267240843,0.4533972903230447,0.7585470085470085,0.4103208778996763,0.498914351429246,0.9233055326688058,0.9288822133132574,0.4803877126774828,0.9475539736770088,0.9266808122293224,0.4858684515813937,0.520009317827659,0.0030181840772283
8.0,144,dpo,john,forget01,10,phi,0.4173333333333333,0.374659358372371,0.4551355079843849,0.75,0.4108711890856334,0.5007480803543889,0.9221267482444578,0.928825450622822,0.4801116808015525,0.9475539736770088,0.9264366305831278,0.4850184017872045,0.5211189120794649,0.0030181840772283
9.0,162,dpo,john,forget01,10,phi,0.4123333333333333,0.3745662090580028,0.4544791783050412,0.7585470085470085,0.4115545560007482,0.5002670541630613,0.9223652892989112,0.928618665049776,0.4799199958048757,0.9475539736770088,0.9261565490722636,0.4845264459493045,0.5206203270872916,0.0030181840772283
10.0,180,dpo,john,forget01,10,phi,0.4273333333333333,0.374499769448098,0.4565216426541946,0.75,0.4105236824068728,0.5011820532695996,0.9212038638210844,0.9288134827193648,0.4801753999658478,0.9590123070103423,0.9261270729759368,0.4851472738340847,0.5229493716682879,0.0030181840772283
