,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,KL,john,12,forget05,10,phi,0.3873333333333333,0.3739980798528777,0.4540155602818996,0.7414529914529915,0.4115548419057418,0.5014237607880195,0.9213480067903188,0.9312687127930456,0.484390468084005,0.9324412299112882,0.9316437738737936,0.4720095226626791,0.5156237353138797,2.962348735693602e-13
1,KL,john,120,forget05,10,phi,0.0066666666666666,0.2886744320537414,0.4559151462724239,0.0,0.1970266363079299,0.3082421471022027,0.0155566477296775,1.9818148693507356e-15,0.2663226653473292,0.0044567787483928,2.1245811609198268e-39,0.5452500404984938,0.0,2.6127403909667314e-07
2,KL,john,75,forget05,10,phi,0.0,0.2773061508473013,0.425737569651626,0.0,0.2379782489856512,0.3811066501591517,0.0052018539603695,2.597050662183533e-37,0.1758668531462795,0.0042901120817262,1.1475466777867455e-37,0.60224568499025,0.0,1.3921047931216453e-06
3,KL,john,62,forget05,10,phi,0.0,0.2796754372337666,0.403813479766305,0.0,0.2534430862607161,0.3495621272667659,0.0052018539603695,4.771513407561524e-30,0.1347126809360975,0.0042901120817262,1.727593690028934e-30,0.7086691475240436,0.0,1.3850840057169374e-11
4,KL,john,87,forget05,10,phi,0.0,0.275194089603737,0.4521363867932571,0.0,0.2377980800931738,0.4097514782985276,0.0052018539603695,8.195511407976559e-38,0.1890520955872203,0.0042901120817262,2.1053111353676403e-39,0.5693217603802,0.0,8.056669472003223e-07
5,KL,john,50,forget05,10,phi,0.0,0.2455106331278585,0.2326995639917167,0.0038461538461538,0.2740239775652545,0.2784594503841178,0.007045515710027,2.6575597008916113e-14,0.189955418622974,0.0056006292430938,1.0373902944487028e-14,0.7213222799334236,0.0,1.3850840057169374e-11
6,KL,john,37,forget05,10,phi,0.3053333333333333,0.3374197441587486,0.3977305002357384,0.5594017094017094,0.3387208565373452,0.3851498349900002,0.339618238998007,0.0331893553781298,0.399901267625552,0.316963891343661,0.0174157314911135,0.6253721281578604,0.1742005700070004,0.1420746514551761
7,KL,john,112,forget05,10,phi,0.0033333333333333,0.3015041334130257,0.4536567756421752,0.0028490028490028,0.218368435036914,0.3683610120398831,0.0128813938935574,7.334923368994213e-24,0.193457130279517,0.0042901120817262,2.630293385296253e-40,0.5515528930426022,6.601431032094792e-23,4.6128382074998843e-07
8,KL,john,25,forget05,10,phi,0.474,0.3563207463777206,0.4325507364858926,0.7948717948717948,0.4048995283103875,0.4918316701385005,0.7866984756744605,0.8294358926301741,0.465368759480577,0.6441523256694309,0.7220472858267126,0.5027966199749543,0.5109377981046506,2.44374577116149e-10
9,KL,john,100,forget05,10,phi,0.0,0.2744200290680379,0.4311184784174746,0.0,0.226815015962829,0.3593239218239276,0.0057435206270361,1.4348210658120873e-33,0.1910135519599503,0.0042901120817262,5.4939543652611005e-40,0.5611838792479843,0.0,4.6128382074998843e-07
