,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,idk,john,12,forget05,10,phi,0.3873333333333333,0.3739980798528777,0.4540155602818996,0.7414529914529915,0.4115548419057418,0.5014237607880195,0.9213480067903188,0.9312687127930456,0.484390468084005,0.9324412299112882,0.9316437738737936,0.4720095226626791,0.5156237353138797,2.962348735693602e-13
1,idk,john,120,forget05,10,phi,0.3106666666666667,0.3630320090842558,0.426161183135967,0.782051282051282,0.4087127299765119,0.4941565437857795,0.8624867705357799,0.9197925485968992,0.4832498844702339,0.1592682719304067,0.7614615732999461,0.488022449189364,0.4895295152459878,2.8873674273022313e-11
2,idk,john,75,forget05,10,phi,0.289,0.3555715792360708,0.4170520867871339,0.7638176638176639,0.4061396302113448,0.4885969432890173,0.8236666773253731,0.9037088162805386,0.47872969525632,0.171431947178339,0.7675954320389393,0.4917761502233178,0.4762419828448929,2.8873674273022313e-11
3,idk,john,62,forget05,10,phi,0.2806666666666667,0.3528815315780699,0.4132630606183149,0.7794871794871795,0.4041389804962041,0.4840917719467544,0.7852027172769681,0.8923668718835095,0.4759533192109051,0.1927544131292837,0.7748077240799077,0.4912854588859026,0.4703482758233914,1.3850840057169374e-11
4,idk,john,87,forget05,10,phi,0.2756666666666667,0.360562974867032,0.4252010253932906,0.7706552706552706,0.4084718496255102,0.4931818204937163,0.8340846399425951,0.9091206660671473,0.479699692080424,0.1590246293255779,0.7623903163943752,0.4914615489725749,0.4759448109047232,1.2127544312107394e-10
5,idk,john,50,forget05,10,phi,0.3156666666666667,0.3586971080065895,0.4237141452283005,0.7777777777777778,0.4122379874830346,0.4975016601217076,0.7301724276783879,0.8733540379839531,0.4684971255130573,0.2369902120064229,0.7817567579473189,0.496598687643133,0.4816330770210253,6.568964585936946e-12
6,idk,john,37,forget05,10,phi,0.2406666666666666,0.3531637490704915,0.4121424069848133,0.7236467236467236,0.4065421615950296,0.4968470756168243,0.5543007660189251,0.8296327452211653,0.457692008012469,0.217780486482131,0.7416208139422755,0.5104562926223939,0.4398467568804466,4.869254633582969e-10
7,idk,john,112,forget05,10,phi,0.304,0.3624972270916075,0.4261226072527526,0.7720797720797722,0.4089178799583191,0.4961622337851067,0.8564766313527244,0.9177908333953352,0.4823968377401348,0.1659705961356694,0.7610366650691582,0.4890322220487587,0.4869829833550607,2.8873674273022313e-11
8,idk,john,25,forget05,10,phi,0.4073333333333333,0.3672026357265126,0.433813974922117,0.7863247863247863,0.4161255208605842,0.5117950845972054,0.7246278688214235,0.8736279147139188,0.4644869388767477,0.5922273051161627,0.8452369108788854,0.4985262947131184,0.5059087232938411,1.2127544312107394e-10
9,idk,john,100,forget05,10,phi,0.2906666666666667,0.3620664659093419,0.4264454748536407,0.7680911680911682,0.408017457704534,0.4949509102463663,0.8519654328779915,0.9137692435764128,0.4816421118861162,0.162703188956615,0.7597878318686752,0.4899990221856901,0.4821906030350308,2.8873674273022313e-11
