num_epoch,Checkpoint,Method,Submitted By,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,25,grad_ascent,john,forget10,10,phi,0.429,0.3664803942573547,0.4452667965920245,0.7913105413105412,0.4129514635767701,0.5031520722195936,0.8950725033471015,0.9060949168731064,0.4751819725195863,0.8373279968919065,0.8790086735401963,0.4966229764035241,0.5201224702776873,1.8502009026131303e-15
2.0,50,grad_ascent,john,forget10,10,phi,0.002,0.2499176280745504,0.3622543046755602,0.0309116809116809,0.2340141099620146,0.2511646507378321,0.1837234072549325,8.765660015088259e-07,0.2669014795558682,0.1813859079824482,6.905717112977898e-07,0.650793379340644,7.885247129356765e-06,2.562143273864415e-05
3.0,75,grad_ascent,john,forget10,10,phi,0.0,0.2544677245298907,0.4715404025627088,0.0,0.2735263640355777,0.4020242513024327,0.0059255605689454,1.195339412419262e-45,0.1826420698386157,0.004165393675042,9.310855890810022e-47,0.5793047283841932,0.0,4.499933086722873e-16
4.0,100,grad_ascent,john,forget10,10,phi,0.0,0.2215973534094499,0.3776174063335545,0.0,0.2650644364464961,0.3285957022514434,0.0059255605689454,2.377993403925461e-50,0.1960415395832898,0.004165393675042,2.6790154609522474e-51,0.5454971347236424,0.0,1.0619204030347364e-16
5.0,125,grad_ascent,john,forget10,10,phi,0.0,0.2162324433314637,0.3505532073282348,0.0,0.2330850259701869,0.287512776537532,0.0059255605689454,4.513133914111704e-52,0.1930603981079887,0.004165393675042,9.312942272251645e-53,0.5460248917896835,0.0,5.333457122241683e-19
6.0,150,grad_ascent,john,forget10,10,phi,0.0,0.2098056543919883,0.3236764835551435,0.0,0.2156620095290748,0.270830142968602,0.0059255605689454,5.927198891812048e-53,0.1976886907197155,0.004165393675042,1.3177271680445758e-53,0.5237727511521547,0.0,1.096624314778916e-19
7.0,175,grad_ascent,john,forget10,10,phi,0.0,0.2145196002469088,0.3107697385014576,0.0,0.2097656086767034,0.2545005238389095,0.0059255605689454,1.0265162579742599e-53,0.1904024524720017,0.004165393675042,2.1928538993212912e-54,0.5197248394972399,0.0,6.031911569834469e-23
8.0,200,grad_ascent,john,forget10,10,phi,0.0,0.21478893898177,0.3006122443949643,0.0,0.2036363742267349,0.2477629149387036,0.0059255605689454,3.520537293271159e-54,0.1873517019388486,0.004165393675042,6.2946477006165056e-55,0.5213351370362441,0.0,1.4334261764269554e-22
9.0,225,grad_ascent,john,forget10,10,phi,0.0,0.2142427693485797,0.2989132520482003,0.0,0.1988557750509253,0.2365835770333704,0.0059255605689454,1.8778941604933748e-54,0.1857997048138648,0.004165393675042,2.827945639498188e-55,0.5141743745340083,0.0,4.283655759915899e-24
10.0,250,grad_ascent,john,forget10,10,phi,0.0,0.2172402485850063,0.2929453846248483,0.0,0.1990603660551349,0.2388694389634506,0.0059255605689454,1.2809970361244751e-54,0.1821462972812099,0.004165393675042,1.743633624257864e-55,0.5142900215854661,0.0,1.1249599984884639e-25
