,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,dpo,john,718,forget10,10,phi,0.3939999999999999,0.347151189632912,0.4020783304253001,0.7324786324786324,0.3962493416673547,0.4787828053623607,0.7642960961403107,0.7808108702091971,0.3848333343609599,0.7412788882723934,0.7649076659964261,0.5963519854291294,0.4719232039671484,7.686752727943917e-06
1,dpo,john,1256,forget10,10,phi,0.3923333333333333,0.3446962988305732,0.3981453929775787,0.7324786324786324,0.3923751310219587,0.473959143051797,0.7247094952284451,0.7510595942217738,0.3732369114056861,0.6988082932779153,0.7310151997484207,0.6076767666138432,0.4644950961436581,3.7746802141706127e-05
2,dpo,john,1436,forget10,10,phi,0.3823333333333333,0.3439455860084202,0.3956909032091447,0.7324786324786324,0.3914117411849725,0.4736949793815914,0.7177026800239339,0.748224870610934,0.3724162125495639,0.6949897657927088,0.7271251254380319,0.60919609284632,0.4616254709971858,3.7746802141706127e-05
3,dpo,john,179,forget10,10,phi,0.4423333333333333,0.368337530274523,0.4443075423379251,0.782051282051282,0.4124290439591895,0.4992884573178787,0.9156047022491216,0.9019870002778252,0.4515840733379695,0.9073718319115126,0.9006253900842033,0.5205156703415024,0.5187978886180623,3.922502017067572e-13
4,dpo,john,1790,forget10,10,phi,0.389,0.3434692706802142,0.3960990003977463,0.7239316239316238,0.3924157417831953,0.4735405245445275,0.7150398850014732,0.7468739604880676,0.3713656173116214,0.69057435780787,0.7255934141967844,0.6097868968261945,0.4620502497119908,3.7746802141706127e-05
5,dpo,john,359,forget10,10,phi,0.469,0.3573171203280927,0.421609510920418,0.7965811965811965,0.4038619097281863,0.4908186479143886,0.8424137614540798,0.8397324293636083,0.4124384565560473,0.8237924477558349,0.8322745465478907,0.5652214430971588,0.5035221513550496,4.324047665424968e-09
6,dpo,john,1615,forget10,10,phi,0.3923333333333333,0.3443305915818026,0.3965583670488555,0.7381766381766383,0.3916348248841805,0.4727283519546117,0.7117783999768507,0.7471146210087741,0.3717514297202554,0.693612284056343,0.7260163294184233,0.6096153863606358,0.4631633891450097,3.7746802141706127e-05
7,dpo,john,1077,forget10,10,phi,0.4123333333333333,0.345360533793746,0.3994781834221798,0.7296296296296297,0.3925653832073273,0.4742204581933255,0.7347636864896435,0.7569344438349689,0.3751188468377556,0.7045056419252448,0.737325650919075,0.6059105829103799,0.4687850776711219,2.562143273864415e-05
8,dpo,john,538,forget10,10,phi,0.424,0.3506019479052928,0.4087061068210465,0.7666666666666666,0.4011999472669579,0.4823734910333876,0.7926372682275028,0.8023129180153149,0.3935475259265242,0.7733421178060846,0.7898026345747915,0.5868068470776776,0.4844850734130616,8.994053173844458e-07
9,dpo,john,897,forget10,10,phi,0.3923333333333333,0.344732090407488,0.3990401254829227,0.741025641025641,0.3936212572675356,0.4777859472396222,0.7426473042082207,0.7661284836378742,0.3795314318852626,0.7187859217778624,0.7478870649439587,0.6023812189863657,0.4681336769414177,2.562143273864415e-05
